,Author,Book
"Make a radical change in your lifestyle and begin to boldly do things which you may previously never have thought of doing, or been too hesitant to attempt. so many people live within unhappy circumstances and yet will not take the initiative to change their situation because they are conditioned to a life of security, conformity, and conservation, all of which may appear to give one peace of mind, but in reality nothing is more damaging to the adventurous spirit within a man than a secure future. the very basic core of a man's living spirit is his passion for adventure. the joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun. if you want to get more out of life, you must lose your inclination for monotonous security and adopt a helter-skelter style of life that will at first appear to you to be crazy. but once you become accustomed to such a life you will see its full meaning and its incredible beauty. ― jon krakauer, into the wild"," jon krakauer, into the wild", into the wild
"Reality doesn't impress me. i only believe in intoxication, in ecstasy, and when ordinary life shackles me, i escape, one way or another. no more walls. ― anaïs nin, incest: from ""a journal of love"": the unexpurgated diary of anaïs nin, 1932-1934"," anaïs nin, incest: from ""a journal of love"": the unexpurgated diary of anaïs nin, 1932-1934"," incest: from ""a journal of love"": the unexpurgated diary of anaïs nin"
I think; therefore i am. ― rene descartes, rene descartes,no book found
"Ignite, my love. ignite. ― tahereh mafi, ignite me"," tahereh mafi, ignite me", ignite me
"Silence, i discover, is something you can actually hear. ― haruki murakami, kafka on the shore"," haruki murakami, kafka on the shore", kafka on the shore
"All human wisdom is contained in these two words - wait and hope ― alexandre dumas, the count of monte cristo"," alexandre dumas, the count of monte cristo", the count of monte cristo
"Mental pain is less dramatic than physical pain, but it is more common and also more hard to bear. the frequent attempt to conceal mental pain increases the burden: it is easier to say my tooth is aching than to say my heart is broken. ― c.s. lewis, the problem of pain"," c.s. lewis, the problem of pain", the problem of pain
"Have you ever asked yourself, do monsters make war, or does war make monsters? ― laini taylor, daughter of smoke & bone"," laini taylor, daughter of smoke & bone", daughter of smoke & bone
"I love you, not just for now, but for always, and i dream of the day that you’ll take me in your arms again. ― nicholas sparks, dear john"," nicholas sparks, dear john", dear john
"I believe in god, but not as one thing, not as an old man in the sky. i believe that what people call god is something in all of us. i believe that what jesus and mohammed and buddha and all the rest said was right. it's just that the translations have gone wrong. ― john lennon", john lennon,no book found
"And so i try to be kind to everything i see, and in everything i see, i see him. ― hanya yanagihara, a little life"," hanya yanagihara, a little life", a little life
All you have to do is write one true sentence. write the truest sentence that you know. ― ernest hemingway, ernest hemingway,no book found
"It's not the face, but the expressions on it. it's not the voice, but what you say. it's not how you look in that body, but the thing you do with it. you are beautiful. ― stephenie meyer, the host"," stephenie meyer, the host", the host
"Imagine smiling after a slap in the face. then think of doing it twenty-four hours a day. ― markus zusak, the book thief"," markus zusak, the book thief", the book thief
"The purpose of life is not to be happy. it is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well. ― ralph waldo emerson", ralph waldo emerson,no book found
An expert is a person who has made all the mistakes that can be made in a very narrow field. ― niels bohr, niels bohr,no book found
"Goodbye,"" said the fox. ""and now here is my secret, a very simple secret: it is only with the heart that one can see rightly; what is essential is invisible to the eye. ― antoine de saint-exupéry", antoine de saint-exupéry,no book found
"Isn't it odd how much fatter a book gets when you've read it several times?"" mo had said...""as if something were left between the pages every time you read it. feelings, thoughts, sounds, smells...and then, when you look at the book again many years later, you find yourself there, too, a slightly younger self, slightly different, as if the book had preserved you like a pressed flower...both strange and familiar. ― cornelia funke, inkspell"," cornelia funke, inkspell", inkspell
